,questions,Answers
10,11. Farmers apply molasses instead of fermented juice. Which one is more effective for water culture?,"Molasses contain more carbohydrates thereby enabling the growth of beneficial bacteria in higher density. Since molasses is not freely available to the farmers coupled with a higher requirement of aeration after its application, the use of fermented juice is more acceptable to the farmers."
11,12. What is C: N ratio and its significance in P. vannamei shrimp farming?,"C: N ratio is the ratio of carbon and nitrogen in the pond water and a ratio of 10:1 normally exists in shrimp ponds. However, in case of P. vannamei due to the high stocking densities, more nitrogenous waste is generated in the form of ammonia and nitrite which deteriorates the water quality. To minimize this problem, carbon sources in the form of fermented juice or molasses is Frequently Asked Questions (FAQs) Pertaining to Penaeus vannamei Shrimp Farming 3 applied which act as a medium for the growth of beneficial bacteria enhancing the C: N ratio to the level of 20:"
12,"1.These beneficial bacteria require nitrogen to produce proteins for their metabolic activity and development and absorb nitrogen from the ammonia or from the fecal waste which is the source of nitrogen. Due to this, the harmful ammonia and nitrite are converted to proteins by the bacteria. Further, this bacteria forms “bio-floc” by adhering to the dead cells, inert materials thereby becomes the feed for Molasses P. vannamei shrimp. Hence, the feed quantity requirement can also be reduced considerably. The C: N ratio needs to be checked fortnightly and has to be maintained by periodical addition of fermented juice or molasses. It is generally useful for Biofloc system. 13. What is biofloc and explain the procedure to develop and maintain the same in simple terms?","Biofloc is a consortium of macro-aggregates consisting of diatoms, macroalgae, fecal pellets, exoskeleton, remnants of dead organisms, bacteria, protest and invertebrates. A 10- 15ml/litre level of (imhoff cone) biofloc should be maintained in the shrimp pond. Addition of organic carbon in the form of fermented solution or molasses acts as a medium for the enhanced production of beneficial bacteria which absorb inorganic nitrogen from the pond water immobilizing the potentially toxic ammonia Biofloc based Shrimp pond and nitrite. This system reduces the total ammonia nitrogen (TAN) thereby decreasing the organic load at the pond bottom which helps to keep hydrogen sulphide under control. Typically a biofloc pond starts as an autotrophic/algal dominated system and after a few days the water turns brown and foamy as floc develops and the system shifts to a heterotrophic system without much algae. The advantages of this system are: zero/minimal water exchange system, insitu bioremediation to maintain water quality, augmentation of natural food and improvement of FCR, non-use of chemicals and other medicines and negligible environmental impact. Protein requirements in feed could be brought down in these systems and the cost of production in terms of feed would be less. Biofloc system may have 5-10% excess carrying capacity, gain by 2 g in ABW, low FCR and lower production cost by 10-15%. However, it requires, high aeration up to 28HP/ha, continuous (24x7) electricity, full/semi HDPE lined ponds and trained technicians."
13,14. Whether biofloc system is feasible for a small scale P. vannamei culture?,"In case of small scale farming with a moderate stocking density of 20-30 PL/m2 it may not be required. Optimum stocking, proper feed management and efficient water quality (pH, DO, minerals, bottom metabolites) management are sufficient for problem-free shrimp farming. Shrimp pond with central drainage 4 Frequently Asked Questions (FAQs) Pertaining to Penaeus vannamei Shrimp Farming"
14,15. Whether P. vannamei farming requires deep ponds with a central drainage system?,"White shrimp P. vannamei is a column dweller and not a bottom dweller like tiger shrimp. Further, in case of P. vannamei, high stocking density up to 60 PL/m2 is practiced, hence it requires deep ponds having"
15,1.5 m water column. Central drainage system would help in removing accumulated sludge. 16. What is the carrying capacity of a shrimp pond and how do you arrive at an optimum stocking density for a pond culturing P. vannamei?,"It is the optimal biomass (tonnes of shrimp/ha) holding capacity of the pond. Carrying capacity of a shrimp pond is dependent upon many factors like biosecurity, electricity, aeration, water quality, quality of inputs, practices followed, technical and management capacity of the individual farmer and other extraneous factors. Based on the experience, a farmer should decide the optimum stocking density for the pond within the permitted level."
16,17. Whether P. vannamei farming needs a modification/alteration in pond design?,"If yes, how? yes. P. vannamei culture pond should have a water column of"
17,"1.5 m depth. Since P. vannamei is stocked at higher densities, it requires higher level of aeration for a longer time for water circulation and maintaining the optimum required level. Continuous aeration might cause erosion of bunds and hence adequate compaction of the dykes is essential. HDPE lining of dykes would minimize erosion. Besides, full time (24x7) electricity, generator back up and biosecurity measures HDPE lined shrimp pond are essential. 18. How does ageing of pond water prior to stocking help in culture and what are its advantages?","The white spot virus can survive as free living form in water up to 12 days. Ageing of pond water after chlorination and de-chlorination will help in removing them. After 12 days, addition of fermented juice is beneficial due to enhanced bacterial growth in adequate quantity and has abundant primary productivity. II. seed seleCtIon and stoCkIng"
18,19. What is SPF P. vannamei shrimp?,"The seeds produced from the Specific pathogen free (SPF) P. vannamei shrimp brood stock are known as SPF P. vannamei. These SPF broodstocks are developed under rigorous quarantine and screening of pathogens over several generations from the SPF mother/founder broodstocks. Countries or regions which still do not have this species can be reasonably sure that the importation of SPF animals will not result in the introduction of the specified pathogens for which the animal is declared P. vannamei shrimp seed Frequently Asked Questions (FAQs) Pertaining to Penaeus vannamei Shrimp Farming 5 “free”. This does not, however, guarantee against the animal being infected with known /unknown pathogens which are not screened against during the SPF programme."
19,20. How far SPF P. vannamei status last long?,"SPF means that the animals have been assured of being free from specific pathogens at the particular point of time. It is a wrong belief that SPF animals are resistant to and cannot become infected by any viral pathogens that shrimp encounter during culture. Once the animals are removed from the SPF production facilities, they can no-longer be referred to as SPF, even though they may remain pathogen free. Once outside the SPF facility, the shrimp may be designated as High Health P. vannamei shrimp broodstock (HH) as they are now subject to a greater risk of infection, but only if they are placed into a well- established facility with a history of disease surveillance and biosecurity protocols. If the shrimp are put anywhere else, for example into a non-biosecure maturation unit, hatchery or farm, they can no longer be called SPF or HH as they are now exposed to a high risk of infection. It was reported that SPF P. vannamei broodstocks are easier to spawn than pond-raised brood stock and their offspring perform better in terms of higher survival rates."
20,"21. What are all the parameters a farmer should look for while selecting, P. vannamei shrimp seeds for stocking?","The P. vannamei shrimp seed quality parameters are given in the Table. S.No Parameter Standard 1 Colour light to dark brown 2 Activity Very active 3 Feeding behaviour Readily accept and eat feed 4 gut Full gut and with a tail muscle to hind gut ratio (MgR) of 4:1or more 5 Hepatopancreas Developed in at least 90% of the sample given and full with oil globules. 6 Rostral spines More than 5 should be observed 7 Body Length 12 mm and above 8 Size variation Less than 10% 9 Appendages Intact without any deformity 10 PCR screening for viral and Negative bacterial diseases 6 Frequently Asked Questions (FAQs) Pertaining to Penaeus vannamei Shrimp Farming S.No Parameter Standard 11 Pigmentation Chromotophores well defined and located along the mid-ventral line 12 Stress test with survival 100% for salinity reduction and above 90% for formalin test. 13 PL stage PL 12 and above. Adequate gill development will not be there in small sized PL. 14 WSSV, EHP Absent based on Real time PCR – two step nested PCR. 15 Necrosis Absent 16 Fouling Clean without any fouling organism It is to be noted that after the introduction of SPF P. vannamei in to the country and due to its increasing demand, both the hatchery operators and farmers are not testing the quality of the shrimp seed unlike they did for tiger shrimp. Hence, the shrimp farmers should adopt the following measures to ensure the selection of quality seed. • The hatchery should have registration for P. vannamei seed production and import of brood stock. • Physical stress test: Collect a larval sample (approximately 100 PLs) from the bottom of the identified larval tank put them in a tub and rotates the water. If many seeds are concentrating at the center of the tub, reject the animals from this larval tank. • Salinity stress test: Collect about 100 PL in a beaker with animals from a tank having the optimum salinity. Pour Shrimp seed quality checking equal quantity of freshwater and wait for half an hour. If you find any mortality reject the animals from that tank. • Formalin stress test: Collect 100 PL of P. vannamei shrimp seed from the selected tank and put them in 100 ppm formalin water and wait for an hour. If more than 90% of the seed survive, select that batch. • The hatchery should have quarantine, adequate bio-security, required infrastructure and follow the standard operating procedures fully. • The seed selected should be from a single spawning and should be from the first or second spawning of the specified mother brooder. Seeds from mixed spawning lead to low survival and size variation. Frequently Asked Questions (FAQs) Pertaining to Penaeus vannamei Shrimp Farming 7 • Seed should be PCR screened for known pathogens (WSSV, EMS etc.) before selection. • After selecting the seed lot, it should be gradually acclimatized (2 to 3 salinity in a day) to the pond water salinity. Rapid acclimatization leads to stress and low survival in the farm. • Obtain 100 PL from the selected stock and put in a hapa in the pond and if the lot has a survival of ≥ 90% only then should the farmer buy the seed. Otherwise choose another lot and repeat the process until the above condition is met. • Farmers from a shrimp cluster should procure seeds collectively through their association from a reputed Hapa rearing for survival assessment and trusted hatchery. They should stay in the hatchery to closely monitor the seed production process. PCR screening of mother brooder before and after spawning would be extremely helpful in preventing diseases."
21,22. Is it possible to differentiate SPF seed vis-à-vis seed from a pond-reared brood stock?,It is not possible to differentiate SPF and non-SPF seed by observation.
22,23. Whether nursery rearing enhances the survival and growth in P. vannamei farming?,"If so, give the details of nursery rearing? It was observed that nursery rearing enhances the seed survival up to 95-99% by making the seed healthy and strong. Prepare the pond similar to that for grow out culture pond preparation with scraping, ploughing, liming, water in-letting, chlorination, de-chlorination, plankton production by applying dolomite, fermented juice, required minerals and probiotics. Stock quality P. vannamei PL 10-12 size @ 1000/m2 and feed @ 1kg of starter feed per one lakh PL from the day one. Increase Nursery rearing of P. vannamei daily feeding rate @200 g per lakh seed. give feed no.1 for initial 10 days, a combination of feed no.1 and 2 during 10-20 days and after 20 days provide feed no.2 only. Provide aeration for 4 hours in the forenoon and 8 hours from"
23,"10.00P.M. It was observed that a growth rate of 2.5 to 3 g is achieved in 25-30 days of nursery rearing. Water quality monitoring for DO, pH, bottom metabolites-ammonia, nitrite and H S is very crucial. After 30 days, shift the seed from 2 the nursery to grow-out pond using drag or scoop net. 24. What are the reasons for low seed survival in P. vannamei ponds?","How can you ensure better/higher survival rate? Poor seed quality, poor acclimatization and poor water quality are the reasons for low survival. Select and procure quality seed by strictly following the CAA guidelines and the standard protocol. gradual acclimatization of PL to pond salinity is very important and should be achieved to the level of 1-2 ppt per day at the hatchery itself before packing. Maintain the pond water quality parameters within the optimum range. 8 Frequently Asked Questions (FAQs) Pertaining to Penaeus vannamei Shrimp Farming III. FeedIng and Feed management"
24,25. Is it correct to use high protein feed initially and switch over to low protein feed?,"If yes, what is the advantage? It is good to use a high protein feed during the initial 30 DOC (pre-starter & starter) since the PL/early juveniles require more protein (38%) than the juveniles and it gives better growth."
25,26. Is it correct to stop feeding by 7.00 PM?,Would not the P. vannamei shrimp starve for feed during night hours? yes. P. Vannamei are diurnal feeders hence need more feeding in the day time and it is always advisable to complete the feeding by
26,"7.00 P.M. Due to high stocking density, the chance of reduction in DO during the night time might result in stress to the animal and affect the feeding which results in less feed consumption and more wastage. This unutilized feed Boat feeding would deteriorate the water quality. Wide feed distribution with multiple feedings also helps in the breakdown of organic wastes by beneficial bacteria and reduces ammonia and prevents water quality problems. 27. What is the required quantity of feed to be kept in check tray for feed monitoring at different stages of culture?","generally to start with (30 DOC) 4-6 g per kg of feed is kept in check tray for monitoring. As the animals grow, the quantity has to be increased slightly and it will reach a maximum level of 8-10 g per kg of feed in the final stages of culture (25-30 g ABW at 100-120 DOC)."
27,28. Why does size variation occur in P. vannamei shrimp?,"How would you minimize the problem through feed management? Seed quality is the major factor for size variation. If the quality of the seed is good and it is well fed with a balanced diet, there is less chance for size variation. underfeeding may lead to size variation. In this condition the dominant and active shrimp will consume enough quantity and would finish the feed quickly while the sluggish and less active shrimp will not get the required quantity resulting in decreased growth. This issue can be managed to a certain extent by means of gap feeding i.e giving the previous grade feed after one hour of routine feeding and mixing the Size variation in P. vannamei shrimp two different sizes of feed (currently using size and a lesser size). During the course of culture, the increase in body weight should correlate with the feed given and the FCR should be in the expected range. If there is any deviation, then the actual reason has to be explored and rectified. If the growth is disproportional then the pond requires adequate attention. Frequently Asked Questions (FAQs) Pertaining to Penaeus vannamei Shrimp Farming 9"
28,29. Is it correct to adopt feeding after one week of stocking only and how can we determine the feeding rate initially?,"Initial feeding depends on the natural (plankton) productivity of the pond. As P. vannamei larvae are voracious feeders and are fed @ 6-7 times/ day at the hatchery, it is advisable to start feeding from the date of stocking itself."
29,30. What are all the aspects to be kept in mind while adopting the feed dispenser for pond?,"Even though P. vannamei can come to any place for feeding, if it is habituated, it is advisable to keep the feed dispenser at the centre as it facilitates the animals from all sides to come and take the feed. However, the total quantity feed to be fed for the day should be uniformly distributed. The timing between the successive feedings and gap between the rotations are very Automatic feed dispenser important in feed dispensers."
30,31. What time of feeding would be appropriate to mix probiotics/supplements for application?,The first meal of the day should be mixed with probiotics/supplements as the hungry animal would consume it fully.
31,32. How much of nutrients applied through feed are actually converted into biomass?,"Generally aquatic organisms convert 25% of nitrogen and phosphorous and less than 10% of the carbohydrate matter applied in the feed to biomass. The remaining N, P and organic matter enters the pond as faecal matter, uneaten feed, ammonia, phosphate and carbon dioxide. For every kg of feed fed, about 30 g of ammonia will be excreted by shrimp into the pond. Ammonia and phosphate stimulate phytoplankton production and increase the organic matter as phytoplankton continually die and settle at the bottom as organic matter."
32,33. Whether shrimp feed can be evaluated physically?,If yes how? A good quality shrimp feed should have a fishy odour and the feed pellet has to be of uniform size. There should not be any clump formation and musty odour. The bottom of the bag should be free from fine powder. P. vannamei shrimp feed
33,34. How can we ascertain the nutrient content of the feed used by a farmer?,"About 200 g of the feed sample has to be collected and sent to the feed laboratory to evaluate the nutrients viz., protein, fat, fiber, total ash and moisture. If the values are lower than the values given in the feed bag,the feed is of lower quality."
34,35. What is the standard water stability time for P. vannamei shrimp feed?,"Even though P. vannamei is a fast feeder and it will consume the feed quickly, feed should be water stable for a period of 1-2 hours. 10 Frequently Asked Questions (FAQs) Pertaining to Penaeus vannamei Shrimp Farming"
35,36. Can we use natural feedstuff like clams to improve the shrimp growth rate?,"No. Since the P. vannamei shrimp is SPF and reared under strict biosecurity protocol, use of live/fresh natural feedstuffs are to be avoided. This will ensure safety to the animal as there is a possibility of introducing disease causing agents through these sources. Moreover, use of natural feedstuffs will lead to deterioration of water quality in the pond."
36,37. How long can the feed be stored?,A properly preserved feed can be stored safely for a period of 60-75 days. However it is always advisable to use freshly processed feed to the extent possible.
37,38. Can we use different brands of feed in a single culture?,"There is no harm in using different brands as long as the quality is good and the shrimp consumes the feed resulting in good FCR. However if you want to change the feed, it has to be done gradually and not abruptly as the animal has to adapt to a particular feed."
38,39. Is there any farm-made feed available for shrimp?,"P. vannamei shrimp can be fed with feed prepared at the farm. However the feed has to be prepared scientifically. The details of farm made feed can be obtained from the Central Institute of Brackishwater Aquaculture, Chennai. soIl and water qualIty management"
39,40. What are ionized and unionized forms of ammonia and what is their significance in P. vannamei shrimp culture?,"Ionized forms are the readily absorbable forms of minerals and nutrients by the shrimp. Ammonia is present in two forms, ionized (NH) which is nontoxic, 4 and the toxic form -unionized ammonia (NH). The shrimp utilize only ionic 3 forms for their metabolic activity.unionized ammonia(NH) has been reported 3 to be more toxic than ionized ammonia (NH ) due to its ability to diffuse 4 across cell membranes.The total of both the ionized and un-ionized forms is the total ammonia nitrogen or TAN. The concentration of these depends on water temperature and pH. Higher the water temperature and pH, the greater Ammonia checking chart the concentration of the toxic form of ammonia (NH). 3"
40,41. Whether application of probiotics and minerals are necessary for phytoplankton development?,"If so what is their actual role? Probiotics could help in regulating the micro flora of the pond water, control pathogenic microorganisms, enhance the decomposition of undesirable organic substances and improve the pond environment. Application of plankton promoters enhances the availability of nitrates and phosphorus which Application of probiotics Frequently Asked Questions (FAQs) Pertaining to Penaeus vannamei Shrimp Farming 11 are important for the planktonic growth. The beneficial bacterial strains inhibit the pathogenic bacteria and help in better survival. In case of low saline water shrimp culture, the pond water has low level of essential minerals like calcium, magnesium, sodium and potassium which might cause stress to the larvae by disturbing the osmo-ionic balance of the shrimp larvae. Beneficial bacteria are helpful in nutrient recycling and organic matter degradation and thus keep the pond environment clean. Therefore, application of probiotics and minerals are essential."
41,42. Whether the lime applied helps in improving the plankton development also?,Which lime material the best? yes. Finely crushed agricultural limestone is usually the best material to use at pH levels below
42,8.3. It is cost-effective and readily available. Both pond alkalinity and hardness can be increased by adding either CaCO (agri-lime) or CaMg(CO ) (dolomitic limestone). Both 3 3 2 Agri-lime and dolomite are good. Dolomite which is calcium magnesium carbonate promotes plankton growth and helps in photosynthesis of planktons. Dolomite lime 43. Why does the pH change in P. vannamei ponds?,"Fluctuations in pH are the result of the interplay of photosynthesis and respiration. At night time, respiration increases CO concentrations, creating carbonic acid and causing pH to fall. 2 During the day, phytoplanktons absorb CO for photosynthesis, causing pH to rise. Large daily 2 changes in pH can stress aquatic animals. Most aquaculture species can live in a broad range of alkalinity concentrations, but the desired alkalinity for many animals is 50 mg/L or higher. Liming to raise total alkalinity to the required or preferred range buffers the water and reduces fluctuations in pH."
43,44. What are the optimal water quality parameters?,"How can we correct (low/high) them during fluctuation? The optimal range of water quality parameters to be maintained in P. vannamei pond, reasons for fluctuations in the water quality parameters and their management measures are given in the Table. Low DO and higher DO fluctuations, Low and high pH, high diurnal pH fluctuations, bottom metabolites – ammonia, nitrite and hydrogen sulphide, higher water temperature, alkalinity, shortage of minerals and their dis-proportions, low alkalinity and higher hardness are the water quality related problems in P. vannamei farming. 12 Frequently Asked Questions (FAQs) Pertaining to Penaeus vannamei Shrimp Farming Parameter Optimal Range Reasons for increase/decrease Management measures Dissolved > 4 mg/L • Overstocking and excessive • Proper feed oxygen feeding rates. management (ration • Excessive algae bloom and & timing) high respiration. • Proper aeration. • Plankton die-off, BOD increases due to bacterial decomposition of algae • Heavy rainfall/cloudy weather • Long periods of hot weather Temperature 28-320C • Prolonged sunny weather – • Water-topping affects shrimp metabolism, • Better aeration stress, low feed intake. pH 7.5-8.5 • Increase due to warm weather • Add lime stone. • Decreases during night due to • To reduce pH, respiration of planktons and carry out water increased CO levels. exchange/apply 2 • Diurnal fluctuation should not jaggery solution or be more than 0.1-0.2 fermented juices. Total < 1mg/L • High temp and high pH lead to • Maintain proper Ammonia ( NH :< 0.1 toxic ammonia increase-causes algal bloom 3 Nitrogen mg/L) gill damage. • Decrease the feeding (TAN) • Excessive feeding, high water temp, high pH and low algal bloom. H S < 0.03mg/L • By-product of breaking down • Sludge removal 2 of organic matter under • Proper drying and anaerobic conditions tilling ( rotten egg smell) • Deceased water pH • Increase in temp Salinity 28-32 ppt • High / Low temperature • Water exchange/top up • Heavy rainfall with ground water of suitable salinity. Total > 50 mg/L as • Affects primary productivity • Prefer dolomite which Alkalinity CaCO and water pH increases alkalinity, 3 water pH and enhances the availability of nutrients. Frequently Asked Questions (FAQs) Pertaining to Penaeus vannamei Shrimp Farming 13"
44,45. On what basis should a farmer decide the dosage and frequency of minerals application during culture?,"Shrimp pond water should have mineral nutrients viz. calcium, magnesium and potassium in the ratio of 1:3:1 with a minimum of 200 ppm calcium. In full strength sea water, Na: K ratio is 28:"
45,1. It is observed that lowering the Na: K ratio by increasing the K concentration enhances the survival and growth of shrimp. The Mineral - Magnesium chloride farmer should check the mineral concentration at weekly intervals and carry out the necessary measures if the levels are low. 46. What is the basis to decide the duration of aeration required for P. vannamei shrimp at different DOC?,"Adequate DO is required for the higher rate of organic matter decomposition by aerobic microorganisms, support ammonia oxidation by denitrifying bacteria, maintain aerobic conditions at the sediment-water interface and better feed utilization. Aerators are required for optimizing the dissolved oxygen and circulation of the pond water. A general guideline for aeration duration is given in the Table. Day of Culture Duration up to 30 DOC 4-6 hours 30-60 DOC 6-8 hours 60-90 DOC 8-12 hours Above 90 DOC 12-16 hours After 30 DOC aerators should be added @ 1 HP per 300-400 kg of biomass. Aerators are operated 6-8 hours mostly during night hours initially and increased gradually to 10-12 hours during mid phase and 14-16 hours per day during the final phase."
46,47. Which type of aerators should be used for better results?,Several studies reported that paddle-wheel aerators or long arm paddle wheel aerators are efficient in providing aeration and circulation of water. It is also reported that long arm and spiral aerators can circulate oxygen to the pond bottom and are more efficient. The aerators should have a rotation per minute (RPM) of 90-120. It is expressed by the farmers that combining long arm paddle wheel and spiral aerators provided better efficiency in terms of circulation and dissolved oxygen levels. Air diffusers (blowers) are also used for providing aeration Combined long arm and spiral aerator to ponds by placing circular aeration stones. It was reported that 1 HP air diffuser is equal to 3 HP aerators and is felt that air blowers along with minimum aerators could provide better performance as it minimises the number of aerators and cost of electricity. 14 Frequently Asked Questions (FAQs) Pertaining to Penaeus vannamei Shrimp Farming
47,48. How can we position the aerators for better performance?,Aerators are to be placed in such a way that entire pond water is circulated in a circular motion sweeping all the waste material to the central part of the pond. Some farms adopted sludge pumps or central drainage system to suck the sludge deposited in the centre of the pond. Positioning of paddle wheel aerators diagonally at four corners and long arm paddle wheel /paddle wheel cum spiral Positioning of aerators aerators in the middle level position respectively helps in water circulation and increasing the aeration. The aerators should be placed 4-5 meter distance from the dykes to prevent erosion.
48,49. What is total alkalinity and how does it differ from hardness?,"Alkalinity (the concentration of carbonates, bicarbonates and hydroxyl ions in water) is a measure of the buffering capacity of water to resist change in pH. Hardness is often defined as the sum of polyvalent cat-ion concentrations dissolved in the water. The most common polyvalent cat-ions in fresh water are calcium (Ca++) and magnesium (Mg++). Alkalinity is important for pH optimization and it is essential for plankton development, metabolic activity of the shrimp and affects bottom metabolites. Optimum alkalinity has direct relationship with animal growth and survival. Hardness is the overall concentration of divalent salts (calcium, magnesium, iron, etc.)"
49,50. Whether P. vannamei shrimp needs micro nutrients too?,"If yes, what are they? The enriched trace minerals/micronutrients have a significant impact on immune functions, disease resistance, and stress release of shrimp/ fish. The micro-elements are important components of hormones and enzymes, and serve as cofactors and/or activators of a variety of enzymes. The quantum of their requirement is relatively low and the requirement is taken care through the feeds. Hence, farmers need not apply trace elements separately."
50,51. What is the weekly growth rate for P. vannamei and what should be done in case of stunted growth?,A weekly growth rate of
51,"1.3-1.6 g is optimum for P. vannamei and it depends on the seed quality, water quality and feeding efficiency. If the water quality is optimum and growth is not proportional to feed provided, then feeding behavior needs to be checked. giving one or two doses of feed probiotic could be beneficial and if it is not improving the growth rate then harvesting would be the right choice. Assessing shrimp growth 52. What are water soluble and insoluble forms of minerals in P. vannamei culture?",Explain in simple terms. The water soluble fraction of minerals is the bio-available form which is readily available to the shrimp. This bio-available form of minerals from most of the commercial mineral mixtures is very low and it is advisable to test the compounds before application. Frequently Asked Questions (FAQs) Pertaining to Penaeus vannamei Shrimp Farming 15
52,53. Why are minerals so important for P. vannamei shrimp alone vis-à-vis tiger shrimp?,"Minerals are important for both tiger and P. vannamei shrimps. Since P. vannamei is cultured in low saline waters which have a relatively low amount of minerals vis-à-vis brackish/saline waters, external supplementation mineral is required only for low saline waters."
53,54. What are the important roles of minerals in P. vannamei farming?,"What is the optimum requirement level of essential minerals?  Minerals are essential constituents of skeletal structures such as bones and teeth.  Minerals play a key role in the maintenance of osmotic pressure, and thus regulate the exchange of water and solutes within the animal body.  Minerals serve as structural constituents of soft tissues.  Minerals are essential for the transmission of nerve impulses and muscle contraction.  Minerals play a vital role in the acid-base equilibrium of the body thereby regulating the pH of the blood and other body fluids.  Minerals serve as essential components of many enzymes, vitamins, hormones, and respiratory pigments, or as cofactors in metabolism, catalysts and enzyme activators. Mineral Name Recommended level in water and feed Calcium Above 150-200 mg/L in water ;"
